页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,stars,forks,watchers,open_issues_count,total_pull_requests,language,license,created_at,updated_at,pushed_at,size_kb,default_branch,topics,fork,archived,mirror_url,has_issues,note
昇腾,76,Ktransformers,推理加速,https://github.com/kvcache-ai/ktransformers,valid,repo,,16942,1259,112,419,586,Python,Apache-2.0,2024-07-26T07:18:28Z,2026-04-10T07:40:29Z,2026-04-09T18:19:10Z,62282,main,,False,False,,True,
昇腾,77,AIGW,推理加速,https://github.com/aigw-project/aigw,valid,repo,,66,14,5,3,9,Go,Apache-2.0,2025-10-22T04:35:50Z,2026-04-06T18:47:12Z,2026-02-12T12:04:24Z,486,main,,False,False,,True,
昇腾,78,llm-d,推理加速,https://github.com/llm-d/llm-d,valid,repo,,2952,397,61,227,853,Shell,Apache-2.0,2025-04-29T18:28:17Z,2026-04-10T06:58:45Z,2026-04-10T00:29:49Z,11870,main,,False,False,,True,
昇腾,79,AIBrix,推理加速,https://github.com/vllm-project/aibrix,valid,repo,,4714,547,46,320,1187,Go,Apache-2.0,2024-06-10T23:06:10Z,2026-04-10T03:17:42Z,2026-04-10T03:17:36Z,29615,main,,False,False,,True,
昇腾,80,GPUStack,推理加速,https://github.com/gpustack/gpustack,valid,repo,,4807,493,37,541,2070,Python,Apache-2.0,2024-05-11T03:41:58Z,2026-04-10T07:34:17Z,2026-04-10T03:07:06Z,189851,main,"ascend,cuda,deepseek,distributed-inference,genai,high-performance-inference,inference,llama,llm,llm-inference,llm-serving,maas,mindie,openai,qwen,rocm,sglang,vllm",False,False,,True,
昇腾,81,DiffSynth-Studio,推理加速,https://github.com/modelscope/DiffSynth-Studio,valid,repo,,12208,1187,87,497,485,Python,Apache-2.0,2023-12-07T16:52:15Z,2026-04-10T07:01:39Z,2026-04-08T07:25:47Z,16997,main,,False,False,,True,
昇腾,82,FlagScale,推理加速,https://github.com/flagos-ai/FlagScale,valid,repo,,500,148,9,40,1104,Python,Apache-2.0,2023-09-25T09:44:13Z,2026-04-08T19:02:36Z,2026-04-03T09:33:40Z,105723,main,,False,False,,True,
昇腾,83,ColossalAI,推理加速,https://github.com/hpcaitech/ColossalAI,valid,repo,,41366,4518,380,493,4412,Python,Apache-2.0,2021-10-28T16:19:44Z,2026-04-10T07:39:34Z,2026-04-09T08:49:02Z,66636,main,"ai,big-model,data-parallelism,deep-learning,distributed-computing,foundation-models,heterogeneous-training,hpc,inference,large-scale,model-parallelism,pipeline-parallelism",False,False,,True,
昇腾,84,Vbench,推理加速,https://github.com/Vchitect/VBench,valid,repo,,1571,110,15,64,17,Python,Apache-2.0,2023-11-27T12:41:46Z,2026-04-10T03:34:26Z,2026-03-23T08:32:27Z,87335,master,"aigc,benchmark,dataset,evaluation-kit,gen-ai,stable-diffusion,text-to-video,video-generation",False,False,,True,
昇腾,85,llm-compressor,推理加速,https://github.com/vllm-project/llm-compressor,valid,repo,,3037,477,30,124,1339,Python,Apache-2.0,2024-06-20T20:13:34Z,2026-04-10T07:32:25Z,2026-04-10T07:00:29Z,34468,main,"compression,quantization",False,False,,True,
昇腾,86,LightX2V,推理加速,https://github.com/ModelTC/LightX2V,valid,repo,,2150,183,18,147,787,Python,Apache-2.0,2025-03-24T10:27:56Z,2026-04-10T06:36:13Z,2026-04-10T06:36:10Z,12231,main,"auto-regressive-diffusion-model,diffusion-models,video-generation,wan-video",False,False,,True,
昇腾,87,xDiT,推理加速,https://github.com/xdit-project/xDiT,valid,repo,,2589,314,79,84,446,Python,Apache-2.0,2024-03-19T06:19:55Z,2026-04-10T02:26:06Z,2026-04-09T11:49:15Z,21448,main,,False,False,,True,
昇腾,88,deepseek-ai,推理加速,https://github.com/deepseek-ai,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,89,QwenLM,推理加速,https://github.com/QwenLM,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,90,THUDM,推理加速,https://github.com/THUDM,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,91,TileLang,算子库和编程,https://github.com/tile-ai/tilelang,valid,repo,,5478,500,36,94,1495,Python,NOASSERTION,2024-10-03T09:25:45Z,2026-04-10T06:18:05Z,2026-04-10T04:41:11Z,23137,main,,False,False,,True,
